nodes PCs graph_id level exec_time_prereq exec_time_gurobi VCs pot_paths objective VCs_created graph_diameter number_of_trxs
6 12 0 -1 4.129972613999996 0.0063486479999710355 0 12 44.0 0 2 5 
6 12 0 0 4.240633110000033 0.015207309999993868 6 40 34.0 2 2 5 
6 12 0 1 4.519770204999986 0.004819098000041322 6 40 34.0 2 2 5 
6 12 1 -1 4.387516897000012 0.004075500999988435 0 14 74.0 0 2 5 
6 12 1 0 4.087522234000005 0.008064904999969258 8 42 54.0 2 2 5 
6 12 1 1 4.136386854000023 0.007233573000007709 8 42 54.0 2 2 5 
6 12 2 -1 4.047699186999978 0.004854241000032289 0 16 45.0 0 2 5 
6 12 2 0 4.043535385000041 0.004739210999957777 8 39 34.0 2 2 5 
6 12 2 1 4.2929666780000275 0.005973337999989781 8 39 34.0 2 2 5 
6 12 3 -1 4.111048247999975 0.0060014240000327845 0 14 28.0 0 2 5 
6 12 3 0 4.131464457999982 0.004377090999980737 8 50 27.0 2 2 5 
6 12 3 1 4.345461340999975 0.004539066000006642 8 50 27.0 2 2 5 
6 12 4 -1 4.08015383999998 0.005100824999999531 0 16 37.0 0 2 5 
6 12 4 0 4.021532458000024 0.014136557000028915 6 38 20.0 1 2 5 
6 12 4 1 4.151156637999975 0.008425878000025477 6 38 20.0 1 2 5 
6 12 5 -1 4.19490575399999 0.003708670999969854 0 16 37.0 0 2 5 
6 12 5 0 4.871374161000006 0.004201840999996875 8 41 20.0 2 2 5 
6 12 5 1 4.232747280000012 0.004311708000045655 8 41 20.0 2 2 5 
6 12 6 -1 4.179579389999958 0.0040473970000221016 0 14 44.0 0 2 5 
6 12 6 0 3.9214382110000088 0.006191058000013072 8 46 26.0 2 2 5 
6 12 6 1 4.560019080000018 0.008776764000003823 8 46 26.0 2 2 5 
6 12 7 -1 4.259190242000045 0.005151880000028086 0 17 31.0 0 2 5 
6 12 7 0 4.0093832389999875 0.005563961999996536 6 33 21.0 1 2 5 
6 12 7 1 4.048480893999965 0.0059247730000038246 6 33 21.0 1 2 5 
6 12 8 -1 4.378882372000021 0.003549415999998473 0 17 31.0 0 2 5 
6 12 8 0 4.13346225600003 0.006343194000010044 8 38 21.0 1 2 5 
6 12 8 1 4.470718294999983 0.007159973000000264 8 38 21.0 1 2 5 
6 12 9 -1 4.175512706999996 0.004176803999996537 0 16 35.0 0 2 5 
6 12 9 0 4.151930065999977 0.0050114609999809545 10 48 18.0 1 2 5 
6 12 9 1 4.0798195489999785 0.005235294000044632 10 48 18.0 1 2 5 
6 12 10 -1 4.22352108299998 0.0057040500000198335 0 15 31.0 0 2 5 
6 12 10 0 4.271005103999983 0.004611797999984901 8 41 31.0 1 2 5 
6 12 10 1 4.040351913999984 0.004869245999998384 8 41 31.0 1 2 5 
6 12 11 -1 4.080038953999974 0.003547720999961257 0 17 16.0 0 2 5 
6 12 11 0 4.265714177999996 0.004037428999993153 9 47 16.0 1 2 5 
6 12 11 1 4.146997673000044 0.004145021999988785 9 47 16.0 1 2 5 
6 12 12 -1 3.9591703030000076 0.005664569000032316 0 18 18.0 0 2 5 
6 12 12 0 4.234142030000044 0.0038528479999513365 6 34 10.0 1 2 5 
6 12 12 1 4.385529995000013 0.004574324999964574 6 34 10.0 1 2 5 
6 12 13 -1 4.369773769999995 0.0063149000000066735 0 15 43.0 0 2 5 
6 12 13 0 4.143423636999955 0.012816284999985328 8 41 39.0 2 2 5 
6 12 13 1 4.202462164999986 0.005842743999949107 8 41 39.0 2 2 5 
6 12 14 -1 4.310472931000049 0.00478177700000515 0 16 25.0 0 2 5 
6 12 14 0 4.188367895999988 0.005070658000022377 8 39 12.0 1 2 5 
6 12 14 1 4.156882916000086 0.007015832999968552 8 39 12.0 1 2 5 
6 12 15 -1 4.256825757999991 0.007019463000005999 0 16 31.0 0 2 5 
6 12 15 0 4.441140744999984 0.011974833999943257 8 47 21.0 1 2 5 
6 12 15 1 4.230921115000001 0.008732634000011785 8 47 21.0 1 2 5 
6 12 16 -1 4.385140680999939 0.005621467000082703 0 16 37.0 0 2 5 
6 12 16 0 4.291338558999996 0.004882913999949778 6 34 28.0 2 2 5 
6 12 16 1 4.117146870999932 0.005562353999948755 6 34 28.0 2 2 5 
6 12 17 -1 4.133424029000025 0.005699615000025915 0 18 60.0 0 2 5 
